,id,lender_norm1,status,business description
0,1,Deutsche Bank,,"Deutsche Bank Aktiengesellschaft provides investment, financial, and related products and services to private individuals, corporate entities, and institutional clients worldwide. Its Corporate Bank segment provides cash management, trade finance and lending, trust and agency, foreign exchange, and securities services, as well as risk management solutions. The company’s Investment Bank segment offers merger and acquisitions, and equity advisory services. This segment also focuses on financing, advisory, fixed income, risk management, sales and trading, and currencies. Its Private Bank segment provides payment and account services, and credit and deposit products, as well as investment advice, such as environmental, social, and governance products. This segment also provides wealth management, postal and parcel services, and digital offerings. The company’s Asset Management segment provides investment solutions, such as alternative investments, which include real estate, infrastructure, private equity, liquid real assets, and sustainable investments; passive investments; and various services, including insurance and pension solutions, asset liability management, portfolio management solutions, asset allocation advisory, structuring, and overlay to institutions, governments, corporations and foundations, and individual investors. As of December 31, 2021, it operated 1,709 branches in 58 countries. The company was founded in 1870 and is headquartered in Frankfurt am Main, Germany."
1,2,G.E. Capital,,"Agility Recovery Solutions, Inc. provides disaster recovery and business continuity solutions for businesses in North America. It offers office space, desks, and chairs; power generators for offices; restore connectivity of phone or Internet; and computers, printers, servers, and fax machines. The company also provides retail/branch office, which include teller counter and reception area, servers, power and communications, and processor connectivity for financial institutions; office with computers and desks, servers, power generation, and phone and Internet connectivity for small and medium-size businesses; and office with computers and desks, custom network engineering, servers, and power and communications for large organizations. In addition, it offers MyAgility, a disaster recovery planning portal; and Agility Planner, a tool that provides templates and historical data for organizations. Agility Recovery Solutions, Inc. was formerly known as GE Capital IT Solutions Disaster Recovery Services and changed its name to Agility Recovery Solutions, Inc. in September 2002. The company was founded in 1989 and is based in Charlotte, North Carolina with additional offices in Westminster, Colorado; Duluth, Georgia; and Mississauga, Canada. Agility Recovery Solutions, Inc. is a former subsidiary of GE Capital Global Holdings, LLC."
2,3,Wells Fargo & Co,,"Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. It also operates through financial advisors. Wells Fargo & Company was founded in 1852 and is headquartered in San Francisco, California."
3,4,Morgan Stanley,,"Morgan Stanley, a financial holding company, provides various financial products and services to corporations, governments, financial institutions, and individuals in the Americas, Europe, the Middle East, Africa, and Asia. It operates through Institutional Securities, Wealth Management, and Investment Management segments. The Institutional Securities segment offers capital raising and financial advisory services, including services related to the underwriting of debt, equity, and other securities, as well as advice on mergers and acquisitions, restructurings, real estate, and project finance. This segment also provides sales and trading services, such as sales, financing, prime brokerage, and market-making services in equity and fixed income products consisting of foreign exchange and commodities; corporate and commercial real estate loans, which provides secured lending facilities and financing for sales and trading customers, and asset-backed and mortgage lending; and wealth management services, investment, and research services. The Wealth Management segment offers financial advisor-led brokerage and investment advisory services; self-directed brokerage services; financial and wealth planning services; workplace services, including stock plan administration; annuity and insurance products; securities-based lending, residential real estate loans, and other lending products; banking; and retirement plan services to individual investors and small to medium-sized businesses and institutions. The Investment Management segment provides equity, fixed income, liquidity, and alternative/other products to benefit/defined contribution plans, foundations, endowments, government entities, sovereign wealth funds, insurance companies, and third-party fund sponsors and corporations through institutional and intermediary channels. Morgan Stanley was founded in 1924 and is headquartered in New York, New York."
4,5,"Swift Receivables Company II, LLC",,
5,6,General Electric Capital Corp,Acquired,"As of Dec 3, 2015 General Electric Capital Corporation was acquired by General Electric Company. General Electric Capital Corporation offers financial products and services. The company provides commercial loans and leasing, fleet management, credit card, and personal lending solutions. General Electric Capital Corporation was founded in 1943 and is based in Norwalk, Connecticut."
6,7,JP Morgan Securities Inc,Operating Subsidiary,"J.P. Morgan Securities provides wealth management, investment strategies, portfolio management, and brokerage services. It offers wealth planning services, including transferring wealth, executive services, retirement planning, education funding, corporate plans, and stock plan services; investing solutions, such as brokerage services, consulting programs, and portfolio management; banking and cash management services, including business and personal checking accounts, savings accounts, and cash management accounts; and lending services, such as home financing solutions, lending strategies, and credit solutions. The company is based in New York, New York with additional offices in Atlanta, Georgia; Boston, Massachusetts; Chicago, Illinois; Dallas, Texas; Los Angeles, San Francisco, and Newport Beach, California; New York and White Plains, New York; and Palm Beach Gardens, Florida. It has branch locations in Ohio, New Jersey, Pennsylvania, California, Washington, and Missouri. J.P. Morgan Securities operates as a subsidiary of J.P. Morgan Securities LLC."
7,8,Goldman Sachs & Co,Operating Subsidiary,"Goldman Sachs & Co. LLC, together with its subsidiaries, operates as an investment banks, brokers, and capital markets company. It was formerly known as Goldman, Sachs & Co. and changed its name to Goldman Sachs & Co. LLC in 2017. Goldman Sachs & Co. LLC was founded in 1869 and is based in New York, New York."
8,9,CIT Group/Business Credit Inc,Operating Subsidiary,"The CIT Group/Business Credit, Inc. provides collateralized and government-secured loans to consumers and small businesses. It also provides loans for commercial real estate financing, construction loans, and franchise financing. The company was formerly known as Iselin-Jeffrerson Factors, Inc. and changed its name to The CIT Group/Business Credit, Inc. in April 1986. The company was incorporated in 1973 and is based in New York, New York. The CIT Group/Business Credit, Inc. operates as a subsidiary of The CIT Group/Equipment Financing, Inc."
9,10,"CIT Group/Financial Services, Inc.",,
10,11,Congress Financial Corp,,
11,12,"Apollo A-N Credit Management, LLC ",,
12,13,GMAC Commercial Finance,Out of Business,"As of October 27,2016 GMAC Commercial Finance (Holdings) Limited went out of businessGMAC Commercial Finance (Holdings) Limited, through its subsidiaries, provides global leveraged finance, asset-based lending, and invoice finance services to manufacturers, distributors, retailers, and service companies. GMAC Commercial Finance (Holdings) Limited was formerly known as GMAC Commercial Credit (Holdings) Limited. The company was incorporated in 1997 and is based in Brighton, United Kingdom. GMAC Commercial Finance (Holdings) Limited was formerly a subsidiary of Ally Financial Inc."
13,14,Morgan Stanley Senior Funding Inc,Operating Subsidiary,"Morgan Stanley Senior Funding, Inc. is based in New York, New York. Morgan Stanley Senior Funding, Inc. operates as a subsidiary of Morgan Stanley."
14,15,Fleet Capital Corp,Acquired,"As of May 1, 1996, Fleet Capital Corporation was acquired by Fleet Capital Corporation. Fleet Capital Corporation, a part of FleetBoston Financial Company, provides commercial finance solutions including equipment financing and leasing and secured lending. Fleet Capital provides secured loans and asset-based financing. The company’s products and services include high yield debt, private placements, asset securitization, mezzanine financing, loan syndication, and mergers and acquisitions advisory services. Fleet Capital also provides a monthly e-newsletter called CapitalEyes. Fleet Capital Corporation was founded in 1995 and is headquartered in Glastonbury Connecticut. It has 25 offices located throughout the United States including Baltimore, Maryland; Boston, Massachusetts; Cranford, New Jersey; New York; Philadelphia, Pennsylvania; Springfield, Massachusetts; and Stamford Connecticut."
15,16,"Hercules Technology Growth Capital, Inc. ",,
16,,"Hercules Capital, Inc.",,"Hercules Capital, Inc. is a business development company. The firm specializing in providing venture debt, debt, senior secured loans, and growth capital to privately held venture capital-backed companies at all stages of development from startups, to expansion stage including select publicly listed companies and select special opportunity lower middle market companies that require additional capital to fund acquisitions, recapitalizations and refinancing and established-stage companies. The firm provides growth capital financing solutions for capital extension; management buy-out and corporate spin-out financing solutions; company, asset specific, or intellectual property acquisition financing; convertible, subordinated and/or mezzanine loans; domestic and international corporate expansion; vendor financing; revenue acceleration by sales and marketing development, and manufacturing expansion. It provides asset-based financing with a focus on cash flow; accounts receivable facilities; equipment loans or leases; equipment acquisition; facilities build-out and/or expansion; working capital revolving lines of credit; inventory. The firm also provides bridge financing to IPO or mergers and acquisitions or technology acquisition; dividend recapitalizations and other sources of investor liquidity; cash flow financing to protect against share price volatility; competitor acquisition; pre-IPO financing for extra cash on the balance sheet; public company financing to continue asset growth and production capacity; short-term bridge financing; and strategic and intellectual property acquisition financings. It also focuses on customized financing solutions, emerging growth, mid venture, and late venture financing. The firm invests primarily in structured debt with warrants and, to a lesser extent, in senior debt and equity investments. The firm generally seeks to invest in companies that have been operating for at least six to 12 months prior to the date of their investment. It prefers to invest in technology, energy technology, sustainable and renewable technology, and life sciences. Within technology the firm focuses on advanced specialty materials and chemicals; communication and networking, consumer and business products; consumer products and services, digital media and consumer internet; electronics and computer hardware; enterprise software and services; gaming; healthcare services; information services; business services; media, content and information; mobile; resource management; security software; semiconductors; semiconductors and hardware; and software sector. Within energy technology, it invests in agriculture; clean technology; energy and renewable technology, fuels and power technology; geothermal; smart grid and energy efficiency and monitoring technologies; solar; and wind. Within life sciences, the firm invests in biopharmaceuticals; biotechnology tools; diagnostics; drug discovery, development and delivery; medical devices and equipment; surgical devices; therapeutics; pharma services; and specialty pharmaceuticals. It also invests in educational services. The firm invests primarily in United States based companies and considers investment in the West Coast, Mid-Atlantic regions, Southeast and Midwest; particularly in the areas of software, biotech and information services. The firm prefers to invest between $10 million to $250 million in equity per transactions. It invests generally between $1 million to $40 million in companies focused primarily on business services, communications, electronics, hardware, and healthcare services. The firm invests primarily in private companies but also have investments in public companies. For equity investments, the firm seeks to represent a controlling interest in its portfolio companies which may exceed 25% of the voting securities of such companies. The firm seeks to invest a limited portion of its assets in equipment-based loans to early-stage prospective portfolio companies. These loans are generally for amounts up to $3 million but may be up to $15 million for certain energy technology venture investments. The firm allows certain debt investments have the right to convert a portion of the debt investment into equity. It also co-invests with other private equity firms. The firm seeks to exit its investments through initial public offering, a private sale of equity interest to a third party, a merger or an acquisition of the company or a purchase of the equity position by the company or one of its stockholders. The firm has structured debt with warrants which typically have maturities of between two and seven years with an average of three years; senior debt with an investment horizon of less than three years; equipment loans with an investment horizon ranging from three to four years; and equity related securities with an investment horizon ranging from three to seven years. The firm prefers to invest through its balance sheet capital. The firm formerly known as Hercules Technology Growth Capital, Inc. Hercules Capital, Inc. was founded in December 2003 and is based in Palo Alto, California with additional offices in Connecticut; Boston, Massachusetts; San Diego, California; Westport, Connecticut; Elmhurst, Illinois; Santa Monica, California; McLean, Virginia; New York, New York; Radnor, Pennsylvania; and Washington, District of Columbia and London, United Kingdom."
17,17,JP Morgan,,"JPMorgan Chase & Co. operates as a financial services company worldwide. It operates through four segments: Consumer & Community Banking (CCB), Corporate & Investment Bank (CIB), Commercial Banking (CB), and Asset & Wealth Management (AWM). The CCB segment offers s deposit, investment and lending products, payments, and services to consumers; lending, deposit, and cash management and payment solutions to small businesses; mortgage origination and servicing activities; residential mortgages and home equity loans; and credit card, auto loan, and leasing services. The CIB segment provides investment banking products and services, including corporate strategy and structure advisory, and equity and debt markets capital-raising services, as well as loan origination and syndication; payments and cross-border financing; and cash and derivative instruments, risk management solutions, prime brokerage, and research. This segment also offers securities services, including custody, fund accounting and administration, and securities lending products for asset managers, insurance companies, and public and private investment funds. The CB segment provides financial solutions, including lending, payments, investment banking, and asset management to small business, large and midsized companies, local governments, and nonprofit clients; and commercial real estate banking services to investors, developers, and owners of multifamily, office, retail, industrial, and affordable housing properties. The AWM segment offers multi-asset investment management solutions in equities, fixed income, alternatives, and money market funds to institutional clients and retail investors; and retirement products and services, brokerage, custody, trusts and estates, loans, mortgages, deposits, and investment management products. The company also provides ATM, online and mobile, and telephone banking services. JPMorgan Chase & Co. was founded in 1799 and is headquartered in New York, New York."
18,18,ArvinMeritor Receivables Corporation,,
19,19,Liberty Street Funding LLC,,
20,20,Gotham Funding Corporation,,
21,20,"Cummins Trade Receivables, LLC",,
22,21,"AUTOMOTIVE FINANCE CORPORATION,",Operating Subsidiary,"Automotive Finance Corporation provides inventory financing for independent automotive dealers and others. It offers floorplanning, a financing that provides a revolving line of credit allowing the borrower or dealer to obtain financing for retail goods. It offers its finance solutions for independent used car dealers, as well as other dealers, such as powersports, salvage or dismantlers, rental operators, RV dealers, and commercial truck dealers. Automotive Finance Corporation was formerly known as CITA, Inc. and changed its name to Automotive Finance Corporation in December 1993. The company was founded in 1987 and is based in Carmel, Indiana with branch office locations throughout the United States and Canada. Automotive Finance Corporation operates as a subsidiary of ADESA, Inc."
23,22,Northern Trust,,"Northern Trust Corporation, a financial holding company, provides wealth management, asset servicing, asset management, and banking solutions for corporations, institutions, families, and individuals worldwide. It operates in two segments, Corporate & Institutional Services (C&IS) and Wealth Management. The C&IS segment offers asset servicing and related services, including custody, fund administration, investment operations outsourcing, investment management, investment risk and analytical services, employee benefit services, securities lending, foreign exchange, treasury management, brokerage services, transition management services, banking, and cash management services. This segment serves corporate and public retirement funds, foundations, endowments, fund managers, insurance companies, sovereign wealth funds, and other institutional investors. The Wealth Management segment offers trust, investment management, custody, and philanthropic; financial consulting; guardianship and estate administration; family business consulting; family financial education; brokerage services; and private and business banking services. This segment serves high-net-worth individuals and families, business owners, executives, professionals, retirees, and established privately held businesses. The company also provides asset management services, such as active and passive equity; active and passive fixed income; cash management; alternative asset classes comprising private equity and hedge funds of funds; and multi-manager advisory services and products through separately managed accounts, bank common and collective funds, registered investment companies, exchange traded funds, non-U.S. collective investment funds, and unregistered private investment funds. In addition, it offers overlay and other risk management services. The company was founded in 1889 and is headquartered in Chicago, Illinois."
