id,lender_norm1
1,Deutsche Bank
2,G.E. Capital
3,Wells Fargo & Co
4,Morgan Stanley
5,"Swift Receivables Company II, LLC"
6,General Electric Capital Corp
7,JP Morgan Securities Inc
8,Goldman Sachs & Co
9,CIT Group/Business Credit Inc
10,"CIT Group/Financial Services, Inc."
11,Congress Financial Corp
12,"Apollo A-N Credit Management, LLC "
13,GMAC Commercial Finance
14,Morgan Stanley Senior Funding Inc
15,Fleet Capital Corp
16,"Hercules Technology Growth Capital, Inc. "
,"Hercules Capital, Inc."
17,JP Morgan
18,ArvinMeritor Receivables Corporation
19,Liberty Street Funding LLC
20,Gotham Funding Corporation
20,"Cummins Trade Receivables, LLC"
21,"AUTOMOTIVE FINANCE CORPORATION,"
22,Northern Trust
23,CIT Group Inc
24,Citigroup Global Markets Inc
25,MidCap Financial Trust
26,Rabobank Nederland NV
27,Congress Financial Corp.
28,Foothill Capital Corp
29,Siemens Credit Corp
30,GS Capital Partners
31,Wells Fargo Foothill Inc
32,GMAC Commercial Finance [fka GMAC Commercial Credit LLC]
33,Wachovia Securities
34,GE Capital Markets Inc
35,Factoring VIE
,Factoring Limited
36,SWC Receivables Funding LLC
37,Credit Suisse AG
38,GE Capital Corp
39,ABL Credit Facility
40,Dresdner Bank AG
41,ING Bank
42,The Bank of Tokyo-Mitsubishi 
43,"Minnesota Power, Inc."
44,MassMutual Funding LLC
45, General Electric Capital Corporation
46,"B. Riley Financial, Inc"
47,Wells Fargo Retail Finance
48,HSBC Business Credit (USA) Inc
49, G.E.  Capital 
50,"GMAC Business Credit, LCC"
51,BB&T Corp
52,Toronto Dominion Bank
53,SunTrust Bank Atlanta
54,Royal Bank of Scotland Plc [US]
55,Yasuda Trust & Banking Co Ltd
56,"Heller Financial, Inc. "
57,"BOA, N.A.; Wells Fargo, N.A."
58,Citicorp USA Inc
59,JP Morgan Capital
60,"CIT Group/ Commercial Services, Inc."
61,"Circleup Credit Advisors, LLC"
62,VW Credit Inc
63,National City Bancorporation
64,Three Pillars Funding LLC
65,HBI Receivables LLC
66,"Coyote Funding, LLC"
67,"Coyote Funding, L.L.C."
68,Harris Nesbitt
69,ASDA Financial Services Limited
70,"Silver Point Finance, LLC"
71,GE Factofrance S.A.S.
72,Ableco Finance LLC
73,Wachovia Capital Finance Corp (Central)
74,Merrill Lynch Capital Corp
75,Business Credit Direct Corp
76,CMC Corporation 
77,Scotia Asset Finance
,Scotia Finance Limited
78,HSH Nordbank AG
79,UPS Capital Corp
80,Morgan Stanley Dean Witter Prime Income Trust
81,Foothill Capital Corporation
82,Fleet Retail Finance
83,Merrill Lynch Business Financial Services Inc.
84,BrightView Funding LLC
85,the Ohio Environmental Protection Agency
86,Barclays Capital
87,Healthcare Finance Group LLC
88,Italian RPA
89,"Revlon, Inc"
90,BankBoston
91,Lehman Commercial Paper Inc
92,"TPG Specialty Lending, Inc."
93,RBS Citizens NA
94,UBS AG Stamford Branch
95,BNP Paribas SA
96,Residential Funding Corporation
97,AIB Capital Markets
98,JWPR Corporation
99,"Laurus Master Fund, Ltd"
100,NBD Bank NA
101,National City Business Credit
102,BNP Paribas Fortis 
103,First Chicago
104,Societe Generale SA
105, Congress Financial Corporation
106,VIP Acquisition
107,"Rosenthal & Rosenthal, Inc"
108,DZ Bank
109,Bank of America National Trust & Savings
110,Guaranty Business Credit Corp
111,Wells Fargo HSBC Trade Bank
112,Textron Financial Corp
113,Credit Lyonnais Leasing International SA
114,Banc of America Securities LLC
115,CIT Group Plc [Capital & Income Trust]
116,Prudential Commercial Bank
117,"Ableco Finance, LLC"
118,TransAmerica Business Capital Corp
119,"CIT Group/Commercial Services, Inc"
120,Heller Healthcare Finance Inc
121,APW Ltd.
122,"Salus Capital Partners, LLC"
123,MC Admin Co LLC
124,CIBC World Markets
125,Textron Financial Corporation 
126,Greenwich Capital Finance
127,UBS Warburg
128,Sumitomo Bank
129,the US EPA
130,Healthcare Business Credit Corp
131,Finova Capital Corporation
132,COLF
133,NationsBank of Texas
134,GMAC Commercial Finance LLC
135,"GC Financial Services, Inc."
136,Credit Lyonnais New York
137,IBJ Whitehall Business Credit Corp
138,CCE
139,"GS Industries, Inc. "
140,International Development Bank
141,"Cerberus Business Finance, LLC"
142,North Fork Business Capital
143,ACF FinCo I LP
144,Healthcare Finance Group Inc
145,Jefferies Finance LLC
146,"Encina Business Credit, LLC"
147,"Gordon Energy Servicer, LLC"
148,Global GP LLC 
149,Windmill Funding Corporation
150,"GMAC Commercial Finance, LLC"
151,Morgan Guaranty Trust
152,Natixis SA [Ex-Natexis Banques Populaires]
153,UBS Securities LLC
154,GMAC Commercial Credit LLC
155,Lloyds Bank Commercial Finance Limited
156,Guaranty Federal Bank
157,Saberasu Japan Investments II BV
158,Coast Business Credit
159,General Motors Acceptance Corp
160,"GMAC Commercial Finance Credit, LLC"
161,GMAC COMMERCIAL FINANCE LLC
162,NAI
163,GE Factofrance
164,TransAmerica Finance Corp
165,SPCP Group LLC
166,"Nomura Corporate Funding America, LLC"
167,Century Business CreditCorporation
168,"First  Security  Bank,  N.A."
169,Foothill Income Trust II LP
170,"Banc of America Securities, LLC"
171,FleetBoston
172,Niagara Therapy (U.K.) Limited
